zipcode,mean score,standard error,number of locations
10001,9.14669421488,0.308901697428,484
10002,11.8686635945,0.402202259535,434
10003,11.6703821656,0.320951565545,628
10004,10.3821138211,0.526711565595,123
10007,10.6916666667,0.500251454044,120
10009,11.5909090909,0.397778402518,286
10010,11.327510917,0.517680147414,229
10011,11.4953271028,0.365144805111,428
10012,11.5602094241,0.359731477751,382
10013,12.0385487528,0.343583470906,441
10014,11.7023498695,0.40975010735,383
10016,11.7335025381,0.418528096392,394
10017,11.3661971831,0.422551921369,355
10018,11.7275541796,0.429500133716,323
10019,10.6301587302,0.278387773894,630
10021,12.5416666667,0.629104625756,144
10022,10.9421841542,0.339339388808,467
10023,10.7322404372,0.559547254313,183
10024,11.3,0.49079241333,190
10025,11.7909090909,0.575123965885,220
10027,11.3246753247,0.59121566085,154
10028,11.66,0.557607956512,200
10029,12.0215053763,0.706878932766,186
10032,12.7522123894,1.01315080483,113
10033,12.972972973,0.723815020131,111
10034,12.6559139785,0.885377369492,93
10036,11.0857142857,0.334441557658,560
10038,11.6623376623,0.762147795579,154
10065,10.7875,0.429401688106,160
10128,12.6490066225,0.938045437529,151
10301,10.7741935484,0.63022088343,93
10306,10.4038461538,0.463475366931,104
10314,12.1461988304,0.552236751115,171
10451,9.07236842105,0.543273931323,152
10452,9.92222222222,0.594445319518,90
10458,11.0218579235,0.553614213854,183
10461,10.6805555556,0.602914185061,144
10462,10.5379310345,0.499331036171,145
10463,11.1219512195,0.688395593669,123
10467,11.3612903226,0.593067326593,155
10468,10.9896907216,0.777902342467,97
10472,10.1153846154,0.639633788918,104
11101,11.069124424,0.428143603435,217
11103,11.4,0.505100688629,190
11104,13.5673076923,0.922578418261,104
11105,10.747826087,0.676266896326,115
11106,11.3333333333,0.656028248223,147
11201,10.5514018692,0.394216881502,321
11203,11.8682170543,0.672279531179,129
11204,11.1965811966,0.634298129231,117
11205,12.0571428571,0.659328774236,140
11206,11.3777777778,0.647985922998,135
11207,10.8181818182,0.636147149323,121
11208,12.027027027,0.800538256625,111
11209,10.6208333333,0.543256103276,240
11211,12.3204747774,0.490741868642,337
11214,12.1904761905,0.643503672185,168
11215,11.2853025937,0.376806228953,347
11216,12.4025974026,0.772287577863,154
11217,10.2970711297,0.433956289354,239
11218,10.8345864662,0.696161762609,133
11219,11.8775510204,0.947747537995,98
11220,13.1815068493,0.558507614337,292
11221,11.603960396,0.919974085722,101
11222,10.9602272727,0.536605540596,176
11223,12.0946745562,0.693387568637,169
11225,10.8,0.600783363198,95
11226,11.6205128205,0.668618302775,195
11229,12.5882352941,0.850379294346,136
11230,11.6632653061,0.682957128381,98
11231,10.5931034483,0.527273089665,145
11232,10.6831683168,0.623298586025,101
11234,10.1276595745,0.515302909495,141
11235,13.3374233129,0.957168818525,163
11236,9.86538461538,0.739130558752,104
11237,10.5847953216,0.536186911554,171
11238,11.1990521327,0.636042971414,211
11249,12.3382352941,0.779658365231,136
11354,12.9399399399,0.567177533228,333
11355,14.0597826087,0.699088569133,184
11358,11.7076923077,0.665841423086,130
11361,11.2293577982,0.697628747573,109
11368,10.4601449275,0.45484598436,276
11369,10.5360824742,0.70483447395,97
11372,12.8417508418,0.524922181458,297
11373,11.4837209302,0.461650201997,215
11375,11.7567567568,0.493258132834,185
11377,13.0049751244,0.695096453897,201
11385,11.2669491525,0.433916036393,236
11430,9.5,0.710464024254,144
11432,11.4,0.616532020128,180
11435,11.0495049505,0.665764837861,101
